date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:00	23244/23244	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:08%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%81%8a%e3%82%82%e3%81%a1%e3%82%83%e3%83%bb%e7%8e%a9%e5%85%b7	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/indexb2d7.html	(from http://shop.maus.jp/)
14:34:00	714/714	---M--	200	added ('OK')	image/jpeg	etag:%222ca-49aaa4d7d0780%22	http://shop.maus.jp/pub/ca_stationery.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_stationery.jpg	(from http://shop.maus.jp/)
14:34:01	26065/26065	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:09%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e6%9c%ac%e3%83%bb%e3%82%b3%e3%83%9f%e3%83%83%e3%82%af	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/indexd333.html	(from http://shop.maus.jp/)
14:34:02	1020/1020	---M--	200	added ('OK')	image/jpeg	etag:%223fc-49aaa4d6dc540%22	http://shop.maus.jp/pub/ca_postcard.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_postcard.jpg	(from http://shop.maus.jp/)
14:34:02	23247/23247	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:09%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%82%b9%e3%83%86%e3%83%bc%e3%82%b7%e3%83%a7%e3%83%8a%e3%83%aa%e3%83%bc	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/index9eba.html	(from http://shop.maus.jp/)
14:34:02	1059/1059	---M--	200	added ('OK')	image/jpeg	etag:%22423-49aaa4d7d0780%22	http://shop.maus.jp/pub/ca_seal.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_seal.jpg	(from http://shop.maus.jp/)
14:34:02	1015/1015	---M--	200	added ('OK')	image/jpeg	etag:%223f7-49aaa4d7d0780%22	http://shop.maus.jp/pub/ca_strap.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_strap.jpg	(from http://shop.maus.jp/)
14:34:03	23241/23241	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:11%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%83%9d%e3%82%b9%e3%83%88%e3%82%ab%e3%83%bc%e3%83%89	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/indexe89f.html	(from http://shop.maus.jp/)
14:34:03	902/902	---M--	200	added ('OK')	image/jpeg	etag:%22386-49aaa4d7d0780%22	http://shop.maus.jp/pub/ca_accessory.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_accessory.jpg	(from http://shop.maus.jp/)
14:34:04	23228/23228	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:11%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%82%b7%e3%83%bc%e3%83%ab	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/index8d66.html	(from http://shop.maus.jp/)
14:34:06	26100/26100	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:12%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%82%b9%e3%83%88%e3%83%a9%e3%83%83%e3%83%97	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/index805c.html	(from http://shop.maus.jp/)
14:34:06	25281/25281	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202020%2018:34:12%20GMT	http://shop.maus.jp/?act=itemlist&itemp_shop_id=7&words=%e3%82%a2%e3%82%af%e3%82%bb%e3%82%b5%e3%83%aa%e3%83%bc	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/indexc5a4.html	(from http://shop.maus.jp/)
14:34:06	839/839	---M--	200	added ('OK')	image/jpeg	etag:%22347-49aaa4d6dc540%22	http://shop.maus.jp/pub/ca_dish.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_dish.jpg	(from http://shop.maus.jp/)
14:34:06	1523/1523	---M--	200	added ('OK')	image/jpeg	etag:%225f3-49aaa4d7d0780%22	http://shop.maus.jp/pub/ca_seikatsuzakka.jpg	E:/My%20work/ShopMaus_Xcontents/shop.maus.jp/pub/ca_seikatsuzakka.jpg	(from http://shop.maus.jp/)
